Date : 2025-11-28 15:18:58
Directory : d:\IdeaProjects\-qsz
Total : 175 files,  14216 codes, 2459 comments, 3727 blanks, all 20402 lines

Languages
+-----------------------------+------------+------------+------------+------------+------------+
| language                    | files      | code       | comment    | blank      | total      |
+-----------------------------+------------+------------+------------+------------+------------+
| GDScript                    |         83 |     12,946 |      2,459 |      3,324 |     18,729 |
| Markdown                    |          6 |      1,156 |          0 |        320 |      1,476 |
| Asset Properties Definition |         81 |         81 |          0 |         81 |        162 |
| XML                         |          4 |         29 |          0 |          0 |         29 |
| GDScene                     |          1 |          4 |          0 |          2 |          6 |
+-----------------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                            |        175 |     14,216 |      2,459 |      3,727 |     20,402 |
| . (Files)                                                    |         14 |      1,316 |        116 |        342 |      1,774 |
| .idea                                                        |          4 |         29 |          0 |          0 |         29 |
| .trae                                                        |          1 |          7 |          0 |          0 |          7 |
| .trae\rules                                                  |          1 |          7 |          0 |          0 |          7 |
| battleScene                                                  |          4 |        549 |         83 |        154 |        786 |
| config                                                       |         55 |      5,247 |        979 |      1,344 |      7,570 |
| dialog                                                       |          2 |        336 |         54 |         69 |        459 |
| monster                                                      |         15 |      1,735 |        315 |        462 |      2,512 |
| scenes                                                       |          1 |          4 |          0 |          2 |          6 |
| skill                                                        |          8 |        146 |         38 |         43 |        227 |
| system                                                       |         42 |      2,482 |        528 |        649 |      3,659 |
| town                                                         |          4 |        510 |         59 |        162 |        731 |
| util                                                         |         25 |      1,855 |        287 |        500 |      2,642 |
+--------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------+-----------------------------+------------+------------+------------+------------+
| filename                                                     | language                    | code       | comment    | blank      | total      |
+--------------------------------------------------------------+-----------------------------+------------+------------+------------+------------+
| d:\IdeaProjects\-qsz\.idea\-qsz.iml                          | XML                         |          9 |          0 |          0 |          9 |
| d:\IdeaProjects\-qsz\.idea\misc.xml                          | XML                         |          6 |          0 |          0 |          6 |
| d:\IdeaProjects\-qsz\.idea\modules.xml                       | XML                         |          8 |          0 |          0 |          8 |
| d:\IdeaProjects\-qsz\.idea\vcs.xml                           | XML                         |          6 |          0 |          0 |          6 |
| d:\IdeaProjects\-qsz\.trae\rules\project_rules.md            | Markdown                    |          7 |          0 |          0 |          7 |
| d:\IdeaProjects\-qsz\ACTIVE_SKILL_SYSTEM_README.md           | Markdown                    |        207 |          0 |         64 |        271 |
| d:\IdeaProjects\-qsz\AUDIO_SYSTEM_README.md                  | Markdown                    |         85 |          0 |         31 |        116 |
| d:\IdeaProjects\-qsz\battleScene\boss_test.gd                | GDScript                    |        146 |          5 |         32 |        183 |
| d:\IdeaProjects\-qsz\battleScene\boss_test.gd.uid            | Asset Properties Definition |          1 |          0 |          1 |          2 |
| d:\IdeaProjects\-qsz\battleScene\stage1.gd                   | GDScript                    |        401 |         78 |        120 |        599 |
| d:\IdeaProjects\-qsz\battleScene\stage1.gd.uid               | Asset Properties Definition |          1 |          0 |          1 |          2 |
| d:\IdeaProjects\-qsz\config\active_skill_manager.gd          | GDScript                    |        208 |         42 |         56 |        306 |
| d:\IdeaProjects\-qsz\config\active_skill_manager.gd.uid      | Asset Properties Definition |          1 |          0 |          1 |          2 |
| d:\IdeaProjects\-qsz\config\active_skill_test.gd             | GDScript                    |        142 |         21 |         39 |        202 |
| d:\IdeaProjects\-qsz\config\active_skill_test.gd.uid         | Asset Properties Definition |          1 |          0 |          1 |          2 |
| d:\IdeaProjects\-qsz\config\base_bullet.gd                   | GDScript                    |        122 |         42 |         44 |        208 |
| d:\IdeaProjects\-qsz\config\base_bullet.gd.uid               | Asset Properties Definition |          1 |          0 |          1 |          2 |
| d:\IdeaProjects\-qsz\config\branch.gd                        | GDScript                    |        165 |         43 |         56 |        264 |
| d:\IdeaProjects\-qsz\config\branch.gd.uid                    | Asset Properties Definition |          1 |          0 |          1 |          2 |
| d:\IdeaProjects\-qsz\config\buff_manager.gd                  | GDScript                    |         93 |         27 |         32 |        152 |
| d:\IdeaProjects\-qsz\config\buff_manager.gd.uid              | Asset Properties Definition |          1 |          0 |          1 |          2 |
| d:\IdeaProjects\-qsz\config\buff_ui.gd                       | GDScript                    |        234 |         59 |         62 |        355 |
| d:\IdeaProjects\-qsz\config\buff_ui.gd.uid                   | Asset Properties Definition |          1 |          0 |          1 |          2 |
| d:\IdeaProjects\-qsz\config\bullet.gd                        | GDScript                    |        223 |         74 |         69 |        366 |
| d:\IdeaProjects\-qsz\config\bullet.gd.uid                    | Asset Properties Definition |          1 |          0 |          1 |          2 |
| d:\IdeaProjects\-qsz\config\bullet_cal.gd                    | GDScript                    |        105 |         36 |         28 |        169 |
| d:\IdeaProjects\-qsz\config\bullet_cal.gd.uid                | Asset Properties Definition |          1 |          0 |          1 |          2 |
| d:\IdeaProjects\-qsz\config\emblem_manager.gd                | GDScript                    |         92 |         28 |         31 |        151 |
| d:\IdeaProjects\-qsz\config\emblem_manager.gd.uid            | Asset Properties Definition |          1 |          0 |          1 |          2 |
| d:\IdeaProjects\-qsz\config\emblem_ui.gd                     | GDScript                    |         50 |         13 |         14 |         77 |
| d:\IdeaProjects\-qsz\config\emblem_ui.gd.uid                 | Asset Properties Definition |          1 |          0 |          1 |          2 |
| d:\IdeaProjects\-qsz\config\enemy_debuff_manager.gd          | GDScript                    |        125 |          8 |         30 |        163 |
| d:\IdeaProjects\-qsz\config\enemy_debuff_manager.gd.uid      | Asset Properties Definition |          1 |          0 |          1 |          2 |
| d:\IdeaProjects\-qsz\config\equipment_manager.gd             | GDScript                    |        124 |         23 |         29 |        176 |
| d:\IdeaProjects\-qsz\config\fire_instance.gd                 | GDScript                    |         36 |          7 |          7 |         50 |
| d:\IdeaProjects\-qsz\config\fire_instance.gd.uid             | Asset Properties Definition |          1 |          0 |          1 |          2 |
| d:\IdeaProjects\-qsz\config\item_manager.gd                  | GDScript                    |        530 |         48 |         28 |        606 |
| d:\IdeaProjects\-qsz\config\item_manager.gd.uid              | Asset Properties Definition |          1 |          0 |          1 |          2 |
| d:\IdeaProjects\-qsz\config\moyan.gd                         | GDScript                    |        168 |         52 |         55 |        275 |
| d:\IdeaProjects\-qsz\config\moyan.gd.uid                     | Asset Properties Definition |          1 |          0 |          1 |          2 |
| d:\IdeaProjects\-qsz\config\player_action.gd                 | GDScript                    |        387 |         96 |        120 |        603 |
| d:\IdeaProjects\-qsz\config\player_action.gd.uid             | Asset Properties Definition |          1 |          0 |          1 |          2 |
| d:\IdeaProjects\-qsz\config\player_current.gd                | GDScript                    |        250 |         32 |         65 |        347 |
| d:\IdeaProjects\-qsz\config\player_current.gd.uid            | Asset Properties Definition |          1 |          0 |          1 |          2 |
| d:\IdeaProjects\-qsz\config\player_reward_weights.gd         | GDScript                    |         31 |         15 |          8 |         54 |
| d:\IdeaProjects\-qsz\config\player_reward_weights.gd.uid     | Asset Properties Definition |          1 |          0 |          1 |          2 |
